MatrixIndex,ConditionNumber
0,1028246932797371.5
1,957776010477390.0
2,870618287968291.6
3,856962098500143.8
4,735669334058007.0
5,694546565117285.8
6,653034039443669.8
7,624496948735196.1
8,569437681032851.1
9,544906992510429.6
10,499501938150623.7
11,472141952989051.1
12,429586747284873.25
13,411280611665172.1
14,376614419958241.9
15,352095961472824.44
16,329517508521754.3
17,308105954419724.1
18,286630806625898.6
19,271967577218944.6
20,252737523312510.34
21,234359118357573.2
22,217558034569814.1
23,201550647352045.12
24,192020983538463.4
25,179813094515093.12
26,166320240847570.0
27,155436785111560.2
28,145692111202315.12
29,133345399376438.98
30,124771558049771.81
31,117196321593622.3
32,109228072867093.78
33,101630333586532.95
34,95582411878161.3
35,88249064503582.23
36,82903652263066.89
37,77486011965806.47
38,72359327234306.17
39,67586360079487.03
40,62934566656649.35
41,58664765065222.19
42,54825801274114.914
43,51237565743002.84
44,47819129677827.32
45,44453826395447.07
46,41535736871090.37
47,38888987837562.64
48,36211279453484.81
49,33782669699117.445
50,31549944818554.676
51,29414188193108.125
52,27487838747040.164
53,25606491504329.617
54,23921875730562.805
55,22323294143918.445
56,20821843663790.21
57,19430019971786.55
58,18132026710950.543
59,16925866264800.46
60,15806972915301.225
61,14725409732243.732
62,13738936506602.521
63,12829374058705.695
64,11959344003043.705
65,11172696567704.67
66,10426479388007.309
67,9731491977146.47
68,9077277248105.59
69,8469821896569.036
70,7908960774765.085
71,7377986225010.734
72,6886049098300.794
73,6424579072439.816
74,5993455485549.713
75,5591590852276.099
76,5220584749233.378
77,4872025483419.321
78,4545794945081.488
79,4243175718523.187
80,3958006356543.358
81,3694839512595.437
82,3448462842056.144
83,3218236632081.5356
84,3002909908137.16
85,2801651305700.967
86,2614785640304.0977
87,2440942417769.105
88,2277116800403.8955
89,2124850903906.885
90,1983079151915.3433
91,1850241998663.093
92,1726717098800.9336
93,1611592490077.3025
94,1503744627477.4087
95,1403214554099.424
96,1309587834448.6409
97,1221987104809.0315
98,1140407012881.7095
99,1064135960260.2753
100,993165531914.2205
101,926683912274.0298
102,864805467378.3884
103,807056694723.7522
104,753170075778.7573
105,702797273326.2548
106,655869367475.4458
107,612031136744.3678
108,571161035349.8093
109,533005789165.5459
110,497385239249.51227
111,464166143515.33795
112,433148374451.87286
113,404204112592.497
114,377217636799.84564
115,352005567092.42017
116,328482976413.85864
117,306541815540.37994
118,286067582898.95605
119,266938613637.22235
120,249111014596.2779
121,232471230901.8097
122,216939188993.37708
123,202446755772.14343
124,188918634005.4125
125,176296839882.99152
126,164518316232.63055
127,153529238498.7438
128,143270026665.96838
129,133698710691.37082
130,124765758247.46739
131,116430850053.76186
132,108651233802.76146
133,101392955167.05156
134,94617504450.4016
135,88297416497.14116
136,82398156511.4651
137,76892879753.84416
138,71755610823.39763
139,66961689184.457344
140,62488296112.71616
141,58312997945.65907
142,54417135406.7595
143,50781532068.60694
144,47388823240.14901
145,44222747930.97905
146,41268139554.989075
147,38511033183.58736
148,35938101983.380775
149,33537108844.678696
150,31296405377.721565
151,29205551700.90935
152,27254320674.264065
153,25433434754.042347
154,23734245372.911915
155,22148549743.763863
156,20668812513.861057
157,19287924864.449505
158,17999269544.087696
159,16796751874.278372
160,15674545446.39826
161,14627353004.227907
162,13650072968.175327
163,12738121134.954208
164,11887069798.002007
165,11092896191.976624
166,10351774543.34234
167,9660174169.495707
168,9014769647.68155
169,8412498539.429942
170,7850458477.183444
171,7325961565.721268
172,6836519223.008609
173,6379768813.996359
174,5953534054.454387
175,5555776517.451565
176,5184594958.957748
177,4838210751.483682
178,4514968857.453067
179,4213321855.4448247
180,3931829453.8846107
181,3669142348.8875027
182,3424005684.0051365
183,3195247211.595584
184,2981772607.7035923
185,2782560522.905589
186,2596656083.6294923
187,2423172812.990805
188,2261280094.5956182
189,2110203553.8108304
190,1969220535.8595905
191,1837656169.174372
192,1714882093.4876533
193,1600310322.3783588
194,1493393240.2054484
195,1393619456.2755938
196,1300511269.9224155
197,1213623797.270724
198,1132541317.824008
199,1056875967.3245783
200,986265833.021286
201,920373142.5185796
202,858882840.3989578
203,801500734.2600043
204,747952253.6932995
205,697981395.8654076
206,651349113.664372
207,607832281.2741709
208,567222878.5689975
209,529326614.48644555
210,493962209.8406006
211,460960441.7874721
212,430163590.81571895
213,401424252.06516236
214,374605007.6490619
215,349577554.4163002
216,326222203.6991231
217,304427219.9431459
218,284088370.4273742
219,265108357.90544507
220,247396411.19821432
221,230867798.40246773
222,215443468.6404465
223,201049640.9750823
224,187617469.1593559
225,175082703.49650595
226,163385387.63228768
227,152469569.74695343
228,142283047.81912875
229,132777082.49018148
230,123906216.5309422
231,115628013.09587386
232,107902878.95692939
233,100693863.04027171
234,93966483.23230949
235,87688561.12774326
236,81830068.30112393
237,76362982.5464991
238,71261154.0113091
239,66500180.58325473
240,62057287.9372678
241,57911226.33658994
242,54042164.25163744
243,50431594.77101566
244,47062248.51260238
245,43918009.07235007
246,40983836.645100705
247,38245697.380236454
248,35690493.36184345
249,33306003.296321865
250,31080821.747601993
251,29004304.922599133
252,27066520.67069327
253,25258200.26745496
254,23570694.078508675
255,21995930.696231328
256,20526377.538437426
257,19155005.57154229
258,17875255.273132898
259,16681005.379041174
260,15566543.58295095
261,14526539.245641962
262,13556017.855531141
263,12650337.206616623
264,11805165.295041582
265,11016459.4985394
266,10280447.323915128
267,9593608.2835777
268,8952657.122183558
269,8354528.057794572
270,7796360.133284792
271,7275483.52963784
272,6789406.8117583105
273,6335804.990973529
274,5912508.414130992
275,5517492.377508482
276,5148867.449233352
277,4804870.440238071
278,4483855.946364461
279,4184288.508079595
280,3904735.2353307405
281,3643858.984753098
282,3400411.932490285
283,3173229.633958861
284,2961225.438519507
285,2763385.290128669
286,2578762.8872497897
287,2406475.1501360284
288,2245697.9957333854
289,2095662.3995787215
290,1955650.715870947
291,1824993.2448407265
292,1703065.029164805
293,1589282.8654922207
294,1483102.5142825884
295,1384016.096556819
296,1291549.6650554617
297,1205260.9369176435
298,1124737.17832566
299,1049593.2304817385
300,979469.6670789932
301,914031.0748241041
302,852964.4500074297
303,795977.7002915416
304,742798.2482564881
305,693171.7275980338
306,646860.7661361527
307,603643.8506137178
308,563314.2670814274
309,525679.112202958
310,490558.37061250804
311,457784.0538455053
312,427199.39662596525
313,398658.1073641305
314,372023.6681451564
315,347168.6818998705
316,323974.2629524428
317,302329.4684448865
318,282130.76759346196
319,263281.5465649583
320,245691.64630126004
321,229276.93128347682
322,213958.8871341898
323,199664.24501272498
324,186324.63119390182
325,173876.2400226629
326,162259.52870653884
327,151418.9325319882
328,141302.59906088925
329,131862.14013849074
330,123052.40043622565
331,114831.24145491721
332,107159.33998169568
333,100000.00000034152
334,93318.9771571498
335,87084.31497740034
336,81266.1920012907
337,75836.77914984936
338,70770.10661171729
339,66041.9396232879
340,61629.66255130646
341,57512.17071849841
342,53669.76945536146
343,50084.07989853378
344,46737.9510800279
345,43615.37789213566
346,40701.424532179786
347,37982.153061954115
348,35444.556739667445
349,33076.49780742291
350,30866.64943339716
351,28804.44153397253
352,26880.01021539614
353,25084.150592784357
354,23408.272761761807
355,21844.360711491827
356,20384.933982517552
357,19023.011886701934
358,17752.080117189267
359,16566.05958947428
360,15459.277364186597
361,14426.439512183479
362,13462.605793003255
363,12563.166024734532
364,11723.818032873507
365,10940.547072069203
366,10209.606623056494
367,9527.50047242753
368,8890.965989530056
369,8296.958520830833
370,7742.636826812067
371,7225.349491789671
372,6742.622241778087
373,6292.1461096111
374,5871.766390734166
375,5479.472336901133
376,5113.387538416489
377,4771.76094893791
378,4452.95850994181
379,4155.455334719232
380,3877.828414590269
381,3618.7498124114004
382,3376.980310825182
383,3151.363484866491
384,2940.820170587456
385,2744.3433032284333
386,2560.993100258199
387,2389.8925662312163
388,2230.2232979664186
389,2081.2215699862777
390,1942.1746814888977
391,1812.4175473742623
392,1691.3295170295135
393,1578.331405652298
394,1472.8827239074612
395,1374.4790926775108
396,1282.649830528006
397,1196.955702358989
398,1116.9868184679597
399,1042.3606739764093
400,972.7203192450162
401,907.7326525210229
402,847.0868266557959
403,790.4927622696185
404,737.6797602527661
405,688.3952069645546
406,642.4033659394144
407,599.4842503189618
408,559.4325706169487
409,522.0567527846823
410,487.1780218794664
411,454.6295469532422
412,424.25564307178445
413,395.91102664683905
414,369.4601205199414
415,344.77640547345015
416,321.74181506763824
417,300.2461709085562
418,280.1866556459223
419,261.4673211801097
420,243.9986297259543
421,227.6970255381694
422,212.48453524988832
423,198.2883949127117
424,185.04070195423088
425,172.67809038843754
426,161.14142772530096
427,150.37553212997457
428,140.32890847858738
429,130.95350204826684
430,122.20446866314764
431,114.03996019700307
432,106.42092440647392
433,99.31091813749755
434,92.67593301146911
435,86.48423275731717
436,80.70620141149506
437,75.31420165974392
438,70.28244264308353
439,65.58685659571425
440,61.204983724766905
441,57.11586478126425
442,53.29994080844096
443,49.73895958790054
444,46.4158883361279
445,43.31483223376393
446,40.42095839796311
447,37.720424934169884
448,35.20031472796666
449,32.84857366030046
450,30.65395295056516
451,28.60595535175735
452,26.694784940343254
453,24.91130026067784
454,23.246970599856496
455,21.693835183851846
456,20.244465099768
457,18.891927762076637
458,17.629753752872027
459,16.451905877536607
460,15.352750287804218
461,14.327029534098303
462,13.369837418249464
463,12.47659552630868
464,11.643031329208764
465,10.865157746525385
466,10.139254075588152
467,9.461848194721998
468,8.829699955494082
469,8.239785684528512
470,7.6892837207583105
471,7.175560918936927
472,6.696160054853213
473,6.248788072006886
474,5.831305113526224
475,5.44171428686589
476,5.0781521123276745
477,4.738879609717646
478,4.422273980505895
479,4.1268208457029525
480,3.851107002325571
481,3.593813663804625
482,3.353710152002929
483,3.129648010670752
484,2.920555512182746
485,2.7254325312810286
486,2.5433457613046473
487,2.373424250023865
488,2.214855233726359
489,2.066880249629083
490,1.9287915080207783
491,1.7999285067824775
492,1.679674872092653
493,1.5674554102055949
494,1.4627333562011309
495,1.3650078065460136
496,1.273811323186478
497,1.1887076977119033
498,1.1092898648952227
499,1.0351779556301768
500,1.0351779556301757
501,1.109289864895223
502,1.1887076977119038
503,1.273811323186478
504,1.3650078065460134
505,1.462733356201129
506,1.5674554102055944
507,1.679674872092653
508,1.7999285067824762
509,1.9287915080207787
510,2.0668802496290817
511,2.2148552337263596
512,2.373424250023866
513,2.5433457613046495
514,2.7254325312810277
515,2.9205555121827445
516,3.129648010670752
517,3.3537101520029293
518,3.5938136638046267
519,3.8511070023255676
520,4.126820845702956
521,4.4222739805058975
522,4.738879609717651
523,5.078152112327672
524,5.441714286865889
525,5.831305113526222
526,6.248788072006883
527,6.696160054853221
528,7.175560918936921
529,7.689283720758302
530,8.23978568452851
531,8.829699955494085
532,9.46184819472199
533,10.139254075588179
534,10.865157746525407
535,11.64303132920879
536,12.476595526308722
537,13.36983741824951
538,14.327029534098351
539,15.35275028780428
540,16.45190587753668
541,17.629753752872126
542,18.891927762076744
543,20.244465099768092
544,21.69383518385192
545,23.24697059985653
546,24.911300260677923
547,26.69478494034329
548,28.605955351757444
549,30.653952950565348
550,32.84857366030049
551,35.20031472796691
552,37.72042493417021
553,40.42095839796319
554,43.31483223376425
555,46.415888336127914
556,49.73895958790073
557,53.29994080844106
558,57.11586478126439
559,61.204983724767025
560,65.58685659571472
561,70.28244264308375
562,75.31420165974343
563,80.70620141149509
564,86.4842327573177
565,92.67593301147033
566,99.31091813749879
567,106.42092440647374
568,114.03996019700337
569,122.20446866314926
570,130.9535020482665
571,140.32890847858826
572,150.37553212997196
573,161.1414277253012
574,172.67809038843413
575,185.04070195423202
576,198.28839491270801
577,212.4845352498874
578,227.6970255381688
579,243.99862972595935
580,261.46732118011124
581,280.1866556459171
582,300.246170908548
583,321.7418150676403
584,344.77640547344464
585,369.4601205199144
586,395.911026646839
587,424.2556430717801
588,454.62954695323793
589,487.1780218794761
590,522.0567527846929
591,559.4325706169689
592,599.4842503189371
593,642.4033659393912
594,688.3952069645547
595,737.679760252735
596,790.4927622696254
597,847.0868266557227
598,907.7326525210053
599,972.7203192451464
600,1042.3606739764864
601,1116.9868184678123
602,1196.9557023590514
603,1282.6498305280818
604,1374.4790926775183
605,1472.8827239074428
606,1578.331405652117
607,1691.3295170297563
608,1812.4175473741889
609,1942.1746814892479
610,2081.221569986297
611,2230.2232979655414
612,2389.8925662310376
613,2560.9931002585
614,2744.3433032270104
615,2940.820170586717
616,3151.3634848661213
617,3376.980310823468
618,3618.749812410157
619,3877.828414589416
620,4155.455334719995
621,4452.958509941558
622,4771.760948938006
623,5113.387538414696
624,5479.4723369012745
625,5871.766390735462
626,6292.146109609092
627,6742.622241776218
628,7225.349491787249
629,7742.636826810248
630,8296.958520832768
631,8890.965989529182
632,9527.500472425003
633,10209.60662305808
634,10940.547072060946
635,11723.818032862093
636,12563.16602473853
637,13462.605792972916
638,14426.439512191215
639,15459.277364193975
640,16566.059589504905
641,17752.08011717723
642,19023.011886712175
643,20384.933982529503
644,21844.36071148053
645,23408.27276178875
646,25084.15059276241
647,26880.010215401173
648,28804.44153392393
649,30866.64943344251
650,33076.497807417516
651,35444.55673976605
652,37982.15306194102
653,40701.42453220892
654,43615.37789201664
655,46737.95107996818
656,50084.07989852343
657,53669.76945534196
658,57512.170718532
659,61629.662551375484
660,66041.93962310851
661,70770.10661177865
662,75836.77915008347
663,81266.19200103419
664,87084.31497700766
665,93318.97715794352
666,100000.00000031463
667,107159.33998164804
668,114831.24145393811
669,123052.40043607802
670,131862.14013819114
671,141302.59905883655
672,151418.9325315913
673,162259.52870604812
674,173876.2400226004
675,186324.63119076748
676,199664.2450128217
677,213958.8871347448
678,229276.93128620982
679,245691.6462968038
680,263281.54656347405
681,282130.76759075356
682,302329.4684418167
683,323974.26295313804
684,347168.68189009355
685,372023.66814240435
686,398658.1073642846
687,427199.39663466753
688,457784.0538339366
689,490558.3706439129
690,525679.1121989234
691,563314.2670882543
692,603643.8506038925
693,646860.7661354763
694,693171.7275842561
695,742798.2482760106
696,795977.7002052751
697,852964.4499837855
698,914031.0748808614
699,979469.6670338659
700,1049593.2305430933
701,1124737.1783688068
702,1205260.936856417
703,1291549.66495922
704,1384016.0966472027
705,1483102.514287055
706,1589282.8657076908
707,1703065.0292846146
708,1824993.244902287
709,1955650.7158131064
710,2095662.399473068
711,2245697.9955373714
712,2406475.149861214
713,2578762.887500202
714,2763385.2893988825
715,2961225.4374101376
716,3173229.634169947
717,3400411.9320799857
718,3643858.9845282305
719,3904735.2357706386
720,4184288.50925781
721,4483855.948468826
722,4804870.440928516
723,5148867.449259491
724,5517492.376831132
725,5912508.414063091
726,6335804.993825321
727,6789406.815649921
728,7275483.52858156
729,7796360.132225112
730,8354528.060342524
731,8952657.128603114
732,9593608.288451876
733,10280447.326615673
734,11016459.50832564
735,11805165.291884862
736,12650337.191442674
737,13556017.840312967
738,14526539.259049721
739,15566543.588262247
740,16681005.37071271
741,17875255.263036028
742,19155005.56445303
743,20526377.536356382
744,21995930.674938723
745,23570694.154450625
746,25258200.24557263
747,27066520.756911203
748,29004304.948926825
749,31080821.733531453
750,33306003.527727183
751,35690493.500416845
752,38245697.14069557
753,40983836.56148312
754,43918008.77277788
755,47062248.26185026
756,50431594.83258942
757,54042163.83609634
758,57911226.37182685
759,62057288.14022216
760,66500180.658755094
761,71261154.73523994
762,76362983.21928044
763,81830068.38001437
764,87688560.75267826
765,93966483.05800995
766,100693863.01850478
767,107902878.80971034
768,115628013.88653484
769,123906215.92507862
770,132777083.81038097
771,142283046.90230912
772,152469572.5708233
773,163385387.70780325
774,175082703.00180382
775,187617472.39253882
776,201049641.161525
777,215443471.734054
778,230867799.23117816
779,247396407.24134573
780,265108353.86247796
781,284088366.4748569
782,304427217.33158964
783,326222194.28633845
784,349577553.3269709
785,374604999.01830095
786,401424245.5431439
787,430163574.05354977
788,460960454.02214044
789,493962170.83225274
790,529326598.5959453
791,567222910.8394706
792,607832309.3060724
793,651349066.4773426
794,697981368.0595628
795,747952228.5070094
796,801500690.9912139
797,858882834.2940516
798,920373238.1475246
799,986265815.3187908
800,1056875832.6636239
801,1132541350.7367015
802,1213623767.0263999
803,1300511182.436762
804,1393619246.937709
805,1493393202.5361059
806,1600310290.6907167
807,1714881818.8982122
808,1837656229.937603
809,1969220263.9168587
810,2110203737.224107
811,2261280155.664803
812,2423172857.0980444
813,2596656524.605045
814,2782559205.868356
815,2981772092.776166
816,3195247785.754121
817,3424006068.4249597
818,3669142505.2126627
819,3931828104.193881
820,4213321710.986905
821,4514968191.286668
822,4838210706.590721
823,5184594435.463477
824,5555776178.071055
825,5953532779.266712
826,6379769050.546518
827,6836518460.741521
828,7325967855.343713
829,7850457021.99569
830,8412499500.883824
831,9014775330.62337
832,9660175057.189665
833,10351779259.034374
834,11092892473.403234
835,11887083801.385984
836,12738096837.0887
837,13650076800.911919
838,14627316305.511147
839,15674566847.52266
840,16796740976.63796
841,17999290274.68594
842,19287930033.5065
843,20668782618.715282
844,22148536516.742153
845,23734235258.67799
846,25433471136.902565
847,27254319693.5576
848,29205511168.988964
849,31296487364.82385
850,33537081350.10282
851,35938072015.36791
852,38511049271.00945
853,41268260712.73606
854,44222693428.65035
855,47388951490.583534
856,50781539734.54007
857,54417318747.40557
858,58313012482.753044
859,62487880363.02982
860,66961193972.77202
861,71756097757.69623
862,76892948829.1969
863,82397655900.55934
864,88296895028.12364
865,94618699055.31665
866,101393341134.89816
867,108651824129.71642
868,116430533867.15512
869,124766591441.11142
870,133698764465.58536
871,143269810323.21747
872,153528336442.88693
873,164518696477.64346
874,176299904279.33707
875,188921603234.07828
876,202447739915.0927
877,216935024208.3718
878,232470342743.61975
879,249110439795.22635
880,266940818569.595
881,286055200018.3092
882,306542498596.3484
883,328480310549.8124
884,352001847330.5119
885,377188514000.6863
886,404208945046.4587
887,433164881334.9833
888,464158746841.56836
889,497378406481.4947
890,532990377452.2355
891,571153955895.745
892,612040794654.3883
893,655826655336.5745
894,702792285421.2887
895,753162607438.5146
896,807093566520.5654
897,864815846199.6876
898,926790687937.2003
899,993091178770.2682
900,1064205405854.2794
901,1140354986708.126
902,1222026267502.9805
903,1309452320004.6057
904,1403422486249.3884
905,1503627703278.9788
906,1611450441577.6301
907,1726894092749.4565
908,1850426415989.3262
909,1982688780049.1753
910,2124218512083.427
911,2277241367816.025
912,2439734176467.307
913,2614525959864.3516
914,2801958682692.2363
915,3002410252074.6187
916,3217482828745.3315
917,3447483562164.4375
918,3692887070263.3076
919,3958687665452.8726
920,4242043738773.6655
921,4546717275452.424
922,4869931470976.5205
923,5220441907701.663
924,5595553202655.724
925,5997638102890.898
926,6425045594051.095
927,6878916151511.215
928,7379588790058.214
929,7908904286934.247
930,8469000264864.959
931,9071938300594.154
932,9721115904822.518
933,10412479952443.072
934,11172664569462.135
935,11964540822467.334
936,12817446132704.986
937,13735118557018.76
938,14728235091905.559
939,15771395794766.979
940,16911706647989.492
941,18111510412976.203
942,19395644503455.848
943,20841002971642.363
944,22298257529988.93
945,23948154873308.63
946,25610176077106.67
947,27468636019677.375
948,29443027068880.95
949,31515232126148.883
950,33813231519163.03
951,36230110057136.57
952,38936263680972.75
953,41561387615095.74
954,44549789520746.83
955,47967313134955.51
956,51307637267355.92
957,54726704721816.62
958,58635262893606.61
959,62825290946451.01
960,67450568567765.24
961,72315316045042.92
962,77735018607428.23
963,83254995260429.58
964,88373557110176.33
965,94641868884922.3
966,102834589370380.52
967,109658490576967.66
968,118364173928598.8
969,125337160446494.11
970,135197588082218.11
971,144719810800792.0
972,154944531822103.34
973,163472627161011.75
974,178256792267650.97
975,191105364328788.3
976,205962195565557.1
977,214129367208365.6
978,234584102990398.34
979,253645644693337.06
980,272006514631841.03
981,287244131886029.2
982,314686505683110.25
983,323476851180990.06
984,356556952841118.3
985,372808781168840.25
986,398377442850052.56
987,415286269199772.2
988,464570667616173.7
989,506321105014508.0
990,562665062712472.3
991,573420154747007.6
992,607895354277628.4
993,665866202033769.8
994,708076530196720.0
995,775766983169140.9
996,808776693399478.4
997,919360163594985.9
998,899282637866221.0
999,1010480807209050.8
