MatrixIndex,ConditionNumber,MatlabCond,PinvDifference
0,1.03E+15,1.05E+15,4.25E-13
1,9.57776E+14,8.96812E+14,9.57776E+14
2,8.70618E+14,8.5829E+14,8.70618E+14
3,8.56962E+14,7.93525E+14,8.56962E+14
4,7.35669E+14,7.6012E+14,7.35669E+14
5,6.94547E+14,7.3179E+14,6.94547E+14
6,6.53034E+14,6.43183E+14,6.53034E+14
7,6.24497E+14,5.82805E+14,6.24497E+14
8,5.69438E+14,5.78755E+14,5.69438E+14
9,5.44907E+14,5.39191E+14,5.44907E+14
10,4.99502E+14,5.24112E+14,4.99502E+14
11,4.72142E+14,4.46229E+14,4.72142E+14
12,4.29587E+14,4.4354E+14,4.29587E+14
13,4.11281E+14,4.12093E+14,4.11281E+14
14,3.76614E+14,3.85203E+14,3.76614E+14
15,3.52096E+14,3.55428E+14,3.52096E+14
16,3.29518E+14,3.2751E+14,3.29518E+14
17,3.08106E+14,3.06707E+14,3.08106E+14
18,2.86631E+14,2.79906E+14,2.86631E+14
19,2.71968E+14,2.6926E+14,2.71968E+14
20,2.52738E+14,2.5578E+14,2.52738E+14
21,2.34359E+14,2.32385E+14,2.34359E+14
22,2.17558E+14,2.18719E+14,2.17558E+14
23,2.01551E+14,2.09286E+14,2.01551E+14
24,1.92021E+14,1.8759E+14,1.92021E+14
25,1.79813E+14,1.77082E+14,1.79813E+14
26,1.6632E+14,1.64378E+14,1.94271E+12
27,1.55437E+14,1.54202E+14,1.55437E+14
28,1.45692E+14,1.43977E+14,1.71485E+12
29,1.33345E+14,1.33303E+14,1.33345E+14
30,1.24772E+14,1.2591E+14,1.13809E+12
31,1.17196E+14,1.16414E+14,1.17196E+14
32,1.09228E+14,1.09468E+14,1.09228E+14
33,1.0163E+14,1.02224E+14,1.0163E+14
34,9.55824E+13,9.49968E+13,5.85611E+11
35,8.82491E+13,9.01371E+13,8.82491E+13
36,8.29037E+13,8.34451E+13,5.41439E+11
37,7.7486E+13,7.6845E+13,6.41052E+11
38,7.23593E+13,7.23163E+13,43051442719
39,6.75864E+13,6.76177E+13,31308942081
40,6.29346E+13,6.30138E+13,79227702850
41,5.86648E+13,5.89052E+13,2.40484E+11
42,5.48258E+13,5.50053E+13,1.7947E+11
43,5.12376E+13,5.11713E+13,66268385421
44,4.78191E+13,4.75852E+13,2.33919E+11
45,4.44538E+13,4.43779E+13,75934018585
46,4.15357E+13,4.15925E+13,56734288609
47,3.8889E+13,3.88492E+13,39762718521
48,3.62113E+13,3.61501E+13,61179186423
49,3.37827E+13,3.37368E+13,45876997084
50,3.15499E+13,3.1585E+13,35012462867
51,2.94142E+13,2.93736E+13,40577385814
52,2.74878E+13,2.74725E+13,15381130067
53,2.56065E+13,2.56209E+13,14383949782
54,2.39219E+13,2.38849E+13,36969835903
55,2.23233E+13,2.22811E+13,42166056636
56,2.08218E+13,2.08243E+13,2422672914
57,1.943E+13,1.94168E+13,13192121205
58,1.8132E+13,1.81011E+13,30914230773
59,1.69259E+13,1.69117E+13,14206092049
60,1.5807E+13,1.57993E+13,7625946742
61,1.47254E+13,1.47306E+13,5144954305
62,1.37389E+13,1.3721E+13,17894264838
63,1.28294E+13,1.28211E+13,8233606001
64,1.19593E+13,1.19795E+13,20116017130
65,1.11727E+13,1.11693E+13,3430354007
66,1.04265E+13,1.04263E+13,163546226.9
67,9.73149E+12,9.72148E+12,10014714820
68,9.07728E+12,9.08162E+12,4344069776
69,8.46982E+12,8.47187E+12,2047223107
70,7.90896E+12,7.90631E+12,2646185992
71,7.37799E+12,7.38216E+12,4175323101
72,6.88605E+12,6.88752E+12,1470671547
73,6.42458E+12,6.42508E+12,497515965.6
74,5.99346E+12,5.99386E+12,408270146.9
75,5.59159E+12,5.5941E+12,2512408297
76,5.22058E+12,5.22166E+12,1079126926
77,4.87203E+12,4.86979E+12,2235886035
78,4.54579E+12,4.54648E+12,686917273.2
79,4.24318E+12,4.24178E+12,1393217344
80,3.95801E+12,3.95817E+12,166348512.2
81,3.69484E+12,3.69481E+12,30140067.52
82,3.44846E+12,3.44698E+12,1480811428
83,3.21824E+12,3.21691E+12,1324440157
84,3.00291E+12,3.00248E+12,432794553.9
85,2.80165E+12,2.80137E+12,276774036.2
86,2.61479E+12,2.6149E+12,117142552.8
87,2.44094E+12,2.43981E+12,1128231619
88,2.27712E+12,2.27707E+12,46484384.38
89,2.12485E+12,2.12454E+12,306453347.8
90,1.98308E+12,1.98315E+12,72090250.69
91,1.85024E+12,1.85056E+12,318337083.9
92,1.72672E+12,1.72688E+12,163441902.6
93,1.61159E+12,1.61151E+12,81744674.92
94,1.50374E+12,1.5037E+12,48660157.16
95,1.40321E+12,1.40324E+12,23813213.79
96,1.30959E+12,1.3096E+12,10864762.54
97,1.22199E+12,1.22209E+12,105286356.3
98,1.14041E+12,1.1404E+12,5161393.76
99,1.06414E+12,1.0641E+12,39984254.15
100,9.93166E+11,9.93158E+11,7347592.363
101,9.26684E+11,9.26842E+11,158169137.7
102,8.64805E+11,8.64808E+11,2818038.729
103,8.07057E+11,8.07063E+11,5985234.351
104,7.5317E+11,7.53121E+11,48779374.95
105,7.02797E+11,7.02858E+11,61085062.99
106,6.55869E+11,6.55877E+11,7839902.968
107,6.12031E+11,6.12062E+11,31140608.47
108,5.71161E+11,5.71166E+11,5231832.232
109,5.33006E+11,5.33001E+11,4985242.317
110,4.97385E+11,4.97373E+11,12504028.09
111,4.64166E+11,4.64159E+11,7089704.738
112,4.33148E+11,4.33142E+11,6064980.908
113,4.04204E+11,4.04201E+11,2821446.8
114,3.77218E+11,3.77199E+11,18498392.43
115,3.52006E+11,3.52005E+11,796330.8162
116,3.28483E+11,3.28474E+11,8633943.515
117,3.06542E+11,3.06552E+11,10367328.04
118,2.86068E+11,2.86064E+11,4014684.062
119,2.66939E+11,2.66946E+11,7050388.879
120,2.49111E+11,2.49113E+11,2448622.555
121,2.32471E+11,2.32472E+11,942780.3477
122,2.16939E+11,2.16938E+11,1380774.339
123,2.02447E+11,2.02447E+11,13016.79255
124,1.88919E+11,1.88919E+11,32133.97694
125,1.76297E+11,1.76299E+11,1856947.688
126,1.64518E+11,1.64518E+11,64253.09601
127,1.53529E+11,1.5353E+11,895531.466
128,1.4327E+11,1.43271E+11,1348920.669
129,1.33699E+11,1.33699E+11,726693.2132
130,1.24766E+11,1.24765E+11,668660.4265
131,1.16431E+11,1.16431E+11,58006.28824
132,1.08651E+11,1.08651E+11,452981.1397
133,1.01393E+11,1.01393E+11,80257.69837
134,94617504450,94618495833,991382.7218
135,88297416497,88296911104,505393.1857
136,82398156511,82397742418,414093.5176
137,76892879754,76893542383,662629.5398
138,71755610823,71755768017,157193.7479
139,66961689184,66961854968,165783.6228
140,62488296113,62488037854,258258.8285
141,58312997946,58313054624,56678.25979
142,54417135407,54417147992,12585.27882
143,50781532069,50781495922,36146.76031
144,47388823240,47388868458,45217.81713
145,44222747931,44222931560,183628.9168
146,41268139555,41268108776,30778.73546
147,38511033184,38511153199,120015.6543
148,35938101983,35938108285,6301.880266
149,33537108845,33537115526,6681.104501
150,31296405378,31296468237,62859.34333
151,29205551701,29205502462,49238.5653
152,27254320674,27254357605,36930.31158
153,25433434754,25433476491,41737.23459
154,23734245373,23734197685,47687.65956
155,22148549744,22148568311,18567.15333
156,20668812514,20668792818,19695.72738
157,19287924864,19287919226,5638.462759
158,17999269544,17999276547,7002.668937
159,16796751874,16796736613,15260.92948
160,15674545446,15674548080,2633.291907
161,14627353004,14627344129,8874.811923
162,13650072968,13650062520,10448.66677
163,12738121135,12738127744,6609.451224
164,11887069798,11887083560,13761.5966
165,11092896192,11092896911,718.9137822
166,10351774543,10351779667,5123.48141
167,9660174169,9660175852,1682.328575
168,9014769648,9014775626,5978.069996
169,8412498539,8412496369,2170.535001
170,7850458477,7850455925,2552.127497
171,7325961566,7325970298,8731.851117
172,6836519223,6836510698,8524.665985
173,6379768814,6379767107,1706.676721
174,5953534054,5953531569,2485.814464
175,5555776517,5555777665,1147.516359
176,5184594959,5184595123,164.4222424
177,4838210751,4838207976,2775.462681
178,4514968857,4514968637,219.9803617
179,4213321855,4213322418,562.4788481
180,3931829454,3931828890,563.4016026
181,3669142349,3669142335,13.44232276
182,3424005684,3424006493,809.4408914
183,3195247212,3195247383,171.3886755
184,2981772608,2981772162,445.8564965
185,2782560523,2782558879,1644.076074
186,2596656084,2596655763,320.6680304
187,2423172813,2423172997,183.9010319
188,2261280095,2261280482,387.8719655
189,2110203554,2110203642,87.69648358
190,1969220536,1969220224,312.2695119
191,1837656169,1837656264,94.42268237
192,1714882093,1714881778,315.7444752
193,1600310322,1600310288,34.03683882
194,1493393240,1493393306,65.61445016
195,1393619456,1393619300,156.1321023
196,1300511270,1300511351,80.76909348
197,1213623797,1213623988,190.3610866
198,1132541318,1132541278,39.36597984
199,1056875967,1056875941,26.35354683
200,986265833,986265860.3,27.23951664
201,920373142.5,920373153,10.48673452
202,858882840.4,858882834,6.383484083
203,801500734.3,801500772.6,38.30041837
204,747952253.7,747952238.2,15.50156327
205,697981395.9,697981414.6,18.74255675
206,651349113.7,651349091.2,22.48445097
207,607832281.3,607832271,10.32012212
208,567222878.6,567222901.3,22.76884592
209,529326614.5,529326621.8,7.312216574
210,493962209.8,493962177.7,32.13999253
211,460960441.8,460960441.2,0.607938046
212,430163590.8,430163578.3,12.46844622
213,401424252.1,401424247.7,4.342435992
214,374605007.6,374605008.9,1.21477646
215,349577554.4,349577556.3,1.836885682
216,326222203.7,326222198.1,5.631302173
217,304427219.9,304427210.7,9.2861477
218,284088370.4,284088378.7,8.300397428
219,265108357.9,265108364.7,6.775232347
220,247396411.2,247396411.7,0.521700272
221,230867798.4,230867799.2,0.789241261
222,215443468.6,215443469.1,0.481980496
223,201049641,201049640.6,0.389913229
224,187617469.2,187617471.7,2.572639705
225,175082703.5,175082701.6,1.852170955
226,163385387.6,163385389.7,2.02008837
227,152469569.7,152469572.3,2.559795778
228,142283047.8,142283047.6,0.234345697
229,132777082.5,132777083.6,1.146875768
230,123906216.5,123906216.3,0.280938098
231,115628013.1,115628012.8,0.270008343
232,107902879,107902880.3,1.306846978
233,100693863,100693863,0.000290018
234,93966483.23,93966482.97,0.26272922
235,87688561.13,87688561.05,0.073776571
236,81830068.3,81830068.33,0.023907147
237,76362982.55,76362982.83,0.278572393
238,71261154.01,71261154.35,0.335422481
239,66500180.58,66500180.46,0.126254317
240,62057287.94,62057287.78,0.156385347
241,57911226.34,57911226.49,0.154808394
242,54042164.25,54042164.44,0.186225066
243,50431594.77,50431595.01,0.238070306
244,47062248.51,47062248.41,0.103137384
245,43918009.07,43918008.99,0.085991052
246,40983836.65,40983836.83,0.18363672
247,38245697.38,38245697.21,0.171950376
248,35690493.36,35690493.62,0.260715213
249,33306003.3,33306003.28,0.011984027
250,31080821.75,31080821.75,0.006312914
251,29004304.92,29004304.88,0.038968814
252,27066520.67,27066520.67,0.002967594
253,25258200.27,25258200.28,0.015315933
254,23570694.08,23570694.16,0.080824672
255,21995930.7,21995930.69,0.009443099
256,20526377.54,20526377.52,0.021762056
257,19155005.57,19155005.57,0.001087768
258,17875255.27,17875255.25,0.018392999
259,16681005.38,16681005.37,0.007025652
260,15566543.58,15566543.59,0.004227455
261,14526539.25,14526539.28,0.033992038
262,13556017.86,13556017.86,0.007979507
263,12650337.21,12650337.21,0.00295047
264,11805165.3,11805165.28,0.015255192
265,11016459.5,11016459.5,0.002795829
266,10280447.32,10280447.32,0.004622689
267,9593608.284,9593608.287,0.003216371
268,8952657.122,8952657.131,0.008557799
269,8354528.058,8354528.064,0.00655546
270,7796360.133,7796360.129,0.003810834
271,7275483.53,7275483.53,0.000730055
272,6789406.812,6789406.816,0.004415407
273,6335804.991,6335804.983,0.008370825
274,5912508.414,5912508.414,0.00034778
275,5517492.378,5517492.374,0.003392207
276,5148867.449,5148867.448,0.001056049
277,4804870.44,4804870.44,0.000121346
278,4483855.946,4483855.95,0.003692093
279,4184288.508,4184288.508,0.000563142
280,3904735.235,3904735.237,0.001718614
281,3643858.985,3643858.984,0.000425194
282,3400411.932,3400411.932,0.000488359
283,3173229.634,3173229.636,0.001917818
284,2961225.439,2961225.437,0.001517857
285,2763385.29,2763385.291,0.000473501
286,2578762.887,2578762.887,0.000225449
287,2406475.15,2406475.15,0.00016247
288,2245697.996,2245697.995,0.000414036
289,2095662.4,2095662.399,0.00031938
290,1955650.716,1955650.716,0.000133448
291,1824993.245,1824993.245,0.000186783
292,1703065.029,1703065.029,1.79E-05
293,1589282.865,1589282.865,4.72E-05
294,1483102.514,1483102.514,0.000114646
295,1384016.097,1384016.097,5.36E-05
296,1291549.665,1291549.665,0.000206075
297,1205260.937,1205260.937,5.05E-05
298,1124737.178,1124737.178,2.92E-05
299,1049593.23,1049593.23,3.51E-06
300,979469.6671,979469.6671,2.65E-05
301,914031.0748,914031.0748,2.21E-05
302,852964.45,852964.4499,8.29E-05
303,795977.7003,795977.7002,7.66E-05
304,742798.2483,742798.2482,2.01E-05
305,693171.7276,693171.7276,1.03E-05
306,646860.7661,646860.7661,7.83E-06
307,603643.8506,603643.8506,3.21E-05
308,563314.2671,563314.2671,1.70E-05
309,525679.1122,525679.1122,3.04E-05
310,490558.3706,490558.3706,1.10E-05
311,457784.0538,457784.0538,4.31E-06
312,427199.3966,427199.3966,2.26E-05
313,398658.1074,398658.1074,1.00E-05
314,372023.6681,372023.6682,6.35E-06
315,347168.6819,347168.6819,1.80E-05
316,323974.263,323974.2629,8.36E-06
317,302329.4684,302329.4684,3.72E-06
318,282130.7676,282130.7676,5.14E-06
319,263281.5466,263281.5466,4.42E-06
320,245691.6463,245691.6463,4.48E-06
321,229276.9313,229276.9313,1.78E-06
322,213958.8871,213958.8871,2.01E-08
323,199664.245,199664.245,5.67E-07
324,186324.6312,186324.6312,2.39E-06
325,173876.24,173876.24,4.22E-07
326,162259.5287,162259.5287,1.65E-06
327,151418.9325,151418.9325,1.61E-06
328,141302.5991,141302.5991,3.43E-06
329,131862.1401,131862.1401,7.31E-08
330,123052.4004,123052.4004,1.10E-06
331,114831.2415,114831.2415,2.73E-07
332,107159.34,107159.34,5.51E-07
333,100000,100000,6.98E-08
334,93318.97716,93318.97716,3.88E-08
335,87084.31498,87084.31498,6.37E-07
336,81266.192,81266.192,8.64E-07
337,75836.77915,75836.77915,9.35E-07
338,70770.10661,70770.10661,4.53E-07
339,66041.93962,66041.93962,2.28E-07
340,61629.66255,61629.66255,2.57E-07
341,57512.17072,57512.17072,2.82E-07
342,53669.76946,53669.76946,7.14E-08
343,50084.0799,50084.0799,1.72E-07
344,46737.95108,46737.95108,2.19E-07
345,43615.37789,43615.37789,3.50E-07
346,40701.42453,40701.42453,9.47E-08
347,37982.15306,37982.15306,9.45E-08
348,35444.55674,35444.55674,1.13E-07
349,33076.49781,33076.49781,9.26E-08
350,30866.64943,30866.64943,2.90E-08
351,28804.44153,28804.44153,3.19E-08
352,26880.01022,26880.01022,4.19E-09
353,25084.15059,25084.15059,1.90E-08
354,23408.27276,23408.27276,2.32E-08
355,21844.36071,21844.36071,1.06E-08
356,20384.93398,20384.93398,7.10E-09
357,19023.01189,19023.01189,3.89E-08
358,17752.08012,17752.08012,1.92E-08
359,16566.05959,16566.05959,1.25E-08
360,15459.27736,15459.27736,1.48E-08
361,14426.43951,14426.43951,3.39E-09
362,13462.60579,13462.60579,5.87E-09
363,12563.16602,12563.16602,2.46E-09
364,11723.81803,11723.81803,2.45E-08
365,10940.54707,10940.54707,1.16E-08
366,10209.60662,10209.60662,8.65E-09
367,9527.500472,9527.500472,4.82E-09
368,8890.96599,8890.96599,9.76E-10
369,8296.958521,8296.958521,1.72E-09
370,7742.636827,7742.636827,2.27E-09
371,7225.349492,7225.349492,5.03E-09
372,6742.622242,6742.622242,6.68E-09
373,6292.14611,6292.14611,1.08E-09
374,5871.766391,5871.766391,9.56E-10
375,5479.472337,5479.472337,6.23E-11
376,5113.387538,5113.387538,4.01E-09
377,4771.760949,4771.760949,1.22E-09
378,4452.95851,4452.95851,1.43E-09
379,4155.455335,4155.455335,5.38E-10
380,3877.828415,3877.828415,1.37E-09
381,3618.749812,3618.749812,3.47E-10
382,3376.980311,3376.980311,1.48E-10
383,3151.363485,3151.363485,6.08E-10
384,2940.820171,2940.820171,5.73E-10
385,2744.343303,2744.343303,1.51E-11
386,2560.9931,2560.9931,6.78E-10
387,2389.892566,2389.892566,6.08E-10
388,2230.223298,2230.223298,1.78E-10
389,2081.22157,2081.22157,1.53E-10
390,1942.174681,1942.174681,1.74E-10
391,1812.417547,1812.417547,1.96E-11
392,1691.329517,1691.329517,1.06E-10
393,1578.331406,1578.331406,2.26E-10
394,1472.882724,1472.882724,1.37E-10
395,1374.479093,1374.479093,1.24E-10
396,1282.649831,1282.649831,1.04E-11
397,1196.955702,1196.955702,2.85E-11
398,1116.986818,1116.986818,4.39E-12
399,1042.360674,1042.360674,5.32E-11
400,972.7203192,972.7203192,1.60E-10
401,907.7326525,907.7326525,4.07E-11
402,847.0868267,847.0868267,3.39E-11
403,790.4927623,790.4927623,1.27E-11
404,737.6797603,737.6797603,5.11E-11
405,688.395207,688.395207,2.07E-11
406,642.4033659,642.4033659,3.50E-11
407,599.4842503,599.4842503,7.13E-12
408,559.4325706,559.4325706,1.75E-11
409,522.0567528,522.0567528,1.70E-11
410,487.1780219,487.1780219,8.20E-12
411,454.629547,454.629547,2.41E-11
412,424.2556431,424.2556431,2.49E-12
413,395.9110266,395.9110266,2.69E-11
414,369.4601205,369.4601205,7.31E-12
415,344.7764055,344.7764055,1.36E-12
416,321.7418151,321.7418151,4.38E-12
417,300.2461709,300.2461709,6.55E-12
418,280.1866556,280.1866556,6.10E-12
419,261.4673212,261.4673212,8.16E-12
420,243.9986297,243.9986297,3.37E-12
421,227.6970255,227.6970255,2.05E-12
422,212.4845352,212.4845352,3.67E-12
423,198.2883949,198.2883949,4.30E-12
424,185.040702,185.040702,2.65E-12
425,172.6780904,172.6780904,2.58E-12
426,161.1414277,161.1414277,1.43E-12
427,150.3755321,150.3755321,6.32E-13
428,140.3289085,140.3289085,1.54E-12
429,130.953502,130.953502,3.25E-12
430,122.2044687,122.2044687,8.91E-13
431,114.0399602,114.0399602,1.33E-12
432,106.4209244,106.4209244,1.46E-12
433,99.31091814,99.31091814,6.51E-13
434,92.67593301,92.67593301,4.35E-13
435,86.48423276,86.48423276,7.26E-13
436,80.70620141,80.70620141,6.96E-13
437,75.31420166,75.31420166,8.83E-13
438,70.28244264,70.28244264,7.78E-13
439,65.5868566,65.5868566,3.39E-13
440,61.20498372,61.20498372,3.15E-13
441,57.11586478,57.11586478,2.36E-13
442,53.29994081,53.29994081,3.13E-13
443,49.73895959,49.73895959,3.76E-13
444,46.41588834,46.41588834,4.13E-13
445,43.31483223,43.31483223,2.08E-13
446,40.4209584,40.4209584,1.79E-13
447,37.72042493,37.72042493,1.71E-13
448,35.20031473,35.20031473,2.43E-13
449,32.84857366,32.84857366,2.19E-13
450,30.65395295,30.65395295,1.73E-13
451,28.60595535,28.60595535,1.27E-13
452,26.69478494,26.69478494,2.46E-13
453,24.91130026,24.91130026,1.27E-13
454,23.2469706,23.2469706,1.13E-13
455,21.69383518,21.69383518,1.16E-13
456,20.2444651,20.2444651,9.81E-14
457,18.89192776,18.89192776,8.86E-14
458,17.62975375,17.62975375,9.18E-14
459,16.45190588,16.45190588,8.29E-14
460,15.35275029,15.35275029,8.95E-14
461,14.32702953,14.32702953,7.08E-14
462,13.36983742,13.36983742,8.34E-14
463,12.47659553,12.47659553,7.23E-14
464,11.64303133,11.64303133,6.64E-14
465,10.86515775,10.86515775,6.16E-14
466,10.13925408,10.13925408,5.84E-14
467,9.461848195,9.461848195,5.70E-14
468,8.829699955,8.829699955,5.36E-14
469,8.239785685,8.239785685,4.80E-14
470,7.689283721,7.689283721,4.72E-14
471,7.175560919,7.175560919,4.67E-14
472,6.696160055,6.696160055,4.49E-14
473,6.248788072,6.248788072,4.13E-14
474,5.831305114,5.831305114,4.01E-14
475,5.441714287,5.441714287,3.68E-14
476,5.078152112,5.078152112,3.84E-14
477,4.73887961,4.73887961,3.50E-14
478,4.422273981,4.422273981,3.40E-14
479,4.126820846,4.126820846,3.51E-14
480,3.851107002,3.851107002,3.18E-14
481,3.593813664,3.593813664,2.91E-14
482,3.353710152,3.353710152,2.73E-14
483,3.129648011,3.129648011,2.82E-14
484,2.920555512,2.920555512,2.69E-14
485,2.725432531,2.725432531,2.94E-14
486,2.543345761,2.543345761,2.50E-14
487,2.37342425,2.37342425,2.39E-14
488,2.214855234,2.214855234,2.38E-14
489,2.06688025,2.06688025,2.18E-14
490,1.928791508,1.928791508,2.12E-14
491,1.799928507,1.799928507,2.28E-14
